Entity,Code,Day,total_vaccinations_per_hundred
Afghanistan,AFG,2/22/2021,0
Afghanistan,AFG,2/28/2021,0.02
Afghanistan,AFG,3/16/2021,0.14
Afghanistan,AFG,4/7/2021,0.31
Afghanistan,AFG,4/22/2021,0.62
Afghanistan,AFG,5/11/2021,1.3
Afghanistan,AFG,5/20/2021,1.41
Afghanistan,AFG,5/24/2021,1.47
Afghanistan,AFG,5/26/2021,1.52
Afghanistan,AFG,5/27/2021,1.52
Afghanistan,AFG,5/30/2021,1.54
Afghanistan,AFG,6/2/2021,1.61
Afghanistan,AFG,6/3/2021,1.62
Afghanistan,AFG,6/8/2021,1.65
Afghanistan,AFG,6/14/2021,1.7
Afghanistan,AFG,6/22/2021,1.97
Afghanistan,AFG,6/27/2021,2.15
Afghanistan,AFG,6/30/2021,2.28
Afghanistan,AFG,7/5/2021,2.35
Afghanistan,AFG,7/7/2021,2.4
Afghanistan,AFG,7/11/2021,2.47
Afghanistan,AFG,7/14/2021,2.63
Afghanistan,AFG,7/18/2021,2.81
Afghanistan,AFG,7/24/2021,3.01
Afghanistan,AFG,7/27/2021,3.28
Afghanistan,AFG,7/29/2021,3.55
Afghanistan,AFG,8/1/2021,3.7
Afghanistan,AFG,8/9/2021,4.54
Afghanistan,AFG,8/11/2021,4.65
Africa,,1/9/2021,0
Africa,,1/13/2021,0
Africa,,1/15/2021,0
Africa,,1/16/2021,0
Africa,,1/19/2021,0
Africa,,1/20/2021,0
Africa,,1/22/2021,0
Africa,,1/23/2021,0
Africa,,1/24/2021,0
Africa,,1/25/2021,0
Africa,,1/26/2021,0
Africa,,1/27/2021,0
Africa,,1/28/2021,0
Africa,,1/29/2021,0
Africa,,1/30/2021,0.01
Africa,,1/31/2021,0.01
Africa,,2/1/2021,0.02
Africa,,2/2/2021,0.02
Africa,,2/3/2021,0.03
Africa,,2/4/2021,0.03
Africa,,2/5/2021,0.03
Africa,,2/6/2021,0.04
Africa,,2/8/2021,0.04
Africa,,2/9/2021,0.05
Africa,,2/10/2021,0.06
Africa,,2/11/2021,0.07
Africa,,2/12/2021,0.09
Africa,,2/13/2021,0.11
Africa,,2/15/2021,0.13
Africa,,2/16/2021,0.15
Africa,,2/17/2021,0.16
Africa,,2/18/2021,0.17
Africa,,2/19/2021,0.19
Africa,,2/20/2021,0.2
Africa,,2/21/2021,0.2
Africa,,2/22/2021,0.2
Africa,,2/23/2021,0.21
Africa,,2/24/2021,0.24
Africa,,2/25/2021,0.26
Africa,,2/26/2021,0.27
Africa,,2/27/2021,0.29
Africa,,2/28/2021,0.29
Africa,,3/1/2021,0.31
Africa,,3/2/2021,0.32
Africa,,3/3/2021,0.33
Africa,,3/4/2021,0.34
Africa,,3/5/2021,0.36
Africa,,3/6/2021,0.37
Africa,,3/7/2021,0.38
Africa,,3/8/2021,0.4
Africa,,3/9/2021,0.41
Africa,,3/10/2021,0.44
Africa,,3/11/2021,0.45
Africa,,3/12/2021,0.48
Africa,,3/13/2021,0.51
Africa,,3/14/2021,0.51
Africa,,3/15/2021,0.54
Africa,,3/16/2021,0.55
Africa,,3/17/2021,0.57
Africa,,3/18/2021,0.58
Africa,,3/19/2021,0.6
Africa,,3/20/2021,0.61
Africa,,3/21/2021,0.61
Africa,,3/22/2021,0.62
Africa,,3/23/2021,0.63
Africa,,3/24/2021,0.7
Africa,,3/25/2021,0.72
Africa,,3/26/2021,0.74
Africa,,3/27/2021,0.77
Africa,,3/28/2021,0.79
Africa,,3/29/2021,0.8
Africa,,3/30/2021,0.82
Africa,,3/31/2021,0.86
Africa,,4/1/2021,0.87
Africa,,4/2/2021,0.89
Africa,,4/3/2021,0.9
Africa,,4/4/2021,0.9
